Country,Dishes,Dish_Normalized,Links,Flag
Turkey, Kebap, Kebap,https://www.google.com/search?q=+Kebap+Turkey,🇹🇷
Turkey, Baklava, Baklava,https://www.google.com/search?q=+Baklava+Turkey,🇹🇷
Turkey, Simit, Simit,https://www.google.com/search?q=+Simit+Turkey,🇹🇷
Uganda, Matooke, Matooke,https://www.google.com/search?q=+Matooke+Uganda,🇺🇬
Ukraine, Borscht, Borscht,https://www.google.com/search?q=+Borscht+Ukraine,🇺🇦
Ukraine, Varenyky, Varenyky,https://www.google.com/search?q=+Varenyky+Ukraine,🇺🇦
United Arab Emirates, Harees, Harees,https://www.google.com/search?q=+Harees+United Arab Emirates,🇦🇪
United Kingdom, Fish and chips, Fish and chips,https://www.google.com/search?q=+Fish+and+chips+United Kingdom,🇬🇧
United Kingdom, Chicken tikka masala, Chicken tikka masala,https://www.google.com/search?q=+Chicken+tikka+masala+United Kingdom,🇬🇧
United Kingdom, Full breakfast (regional variations), Full breakfast (regional variations),https://www.google.com/search?q=+Full+breakfast+(regional+variations)+United Kingdom,🇬🇧
England, Sunday roast (especially roast beef), Sunday roast (especially roast beef),https://www.google.com/search?q=+Sunday+roast+(especially+roast+beef)+England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
England, pudding (particularly Christmas plum pudding), pudding (particularly Christmas plum pudding),https://www.google.com/search?q=+pudding+(particularly+Christmas+plum+pudding)+England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Scotland, Haggis, Haggis,https://www.google.com/search?q=+Haggis+Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿
Wales, Cawl, Cawl,https://www.google.com/search?q=+Cawl+Wales,🏴󠁧󠁢󠁷󠁬󠁳󠁿
American Samoa, Palusami, Palusami,https://www.google.com/search?q=+Palusami+American Samoa,🇦🇸
Guam, Kelaguen, Kelaguen,https://www.google.com/search?q=+Kelaguen+Guam,🇬🇺
Guam, Spam, Spam,https://www.google.com/search?q=+Spam+Guam,🇬🇺
Northern Mariana Islands, Kelaguen, Kelaguen,https://www.google.com/search?q=+Kelaguen+Northern Mariana Islands,🇲🇵
Puerto Rico, Lechon, Lechon,https://www.google.com/search?q=+Lechon+Puerto Rico,🇵🇷
Puerto Rico, Mofongo, Mofongo,https://www.google.com/search?q=+Mofongo+Puerto Rico,🇵🇷
United States Virgin Islands, Funji, Funji,https://www.google.com/search?q=+Funji+United States Virgin Islands,🇻🇮
Uruguay, Chivito, Chivito,https://www.google.com/search?q=+Chivito+Uruguay,🇺🇾
Uzbekistan, O'sh, O'sh,https://www.google.com/search?q=+O'sh+Uzbekistan,🇺🇿
Vanuatu, Laplap, Laplap,https://www.google.com/search?q=+Laplap+Vanuatu,🇻🇺
Venezuela, Pabellón criollo, Pabellon criollo,https://www.google.com/search?q=+Pabellon+criollo+Venezuela,🇻🇪
Venezuela, arepa, arepa,https://www.google.com/search?q=+arepa+Venezuela,🇻🇪
Venezuela, Cachapa., Cachapa.,https://www.google.com/search?q=+Cachapa.+Venezuela,🇻🇪
Vietnam, Pho, Pho,https://www.google.com/search?q=+Pho+Vietnam,🇻🇳
Yemen, Saltah, Saltah,https://www.google.com/search?q=+Saltah+Yemen,🇾🇪
Zambia, Nshima, Nshima,https://www.google.com/search?q=+Nshima+Zambia,🇿🇲
Zimbabwe, Sadza, Sadza,https://www.google.com/search?q=+Sadza+Zimbabwe,🇿🇼
